ANIO,MES,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,UBIGEO_HECHO,P_MODALIDADES,cantidad,UBIGEO,DISTRITO,POBLACION_TOTAL,FUENTE_POBLACION,PORC_NBI,FUENTE_NBI
2018,1,LIMA METROPOLITANA,LIMA,ANCON,150102,Estafa,1,150102,Ancón,78256,"INEI, Censos Nacionales 2025",21.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,ANCON,150102,Hurto,34,150102,Ancón,78256,"INEI, Censos Nacionales 2025",21.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,ANCON,150102,Otros,49,150102,Ancón,78256,"INEI, Censos Nacionales 2025",21.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,ANCON,150102,Robo,14,150102,Ancón,78256,"INEI, Censos Nacionales 2025",21.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,ANCON,150102,Violencia contra la mujer e integrantes,78,150102,Ancón,78256,"INEI, Censos Nacionales 2025",21.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,ATE,150103,Estafa,12,150103,Ate,703028,"INEI, Censos Nacionales 2025",18.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,ATE,150103,Extorsión,2,150103,Ate,703028,"INEI, Censos Nacionales 2025",18.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,ATE,150103,Hurto,212,150103,Ate,703028,"INEI, Censos Nacionales 2025",18.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,ATE,150103,Otros,340,150103,Ate,703028,"INEI, Censos Nacionales 2025",18.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,ATE,150103,Robo,158,150103,Ate,703028,"INEI, Censos Nacionales 2025",18.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,ATE,150103,Secuestro,1,150103,Ate,703028,"INEI, Censos Nacionales 2025",18.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,ATE,150103,Violencia contra la mujer e integrantes,530,150103,Ate,703028,"INEI, Censos Nacionales 2025",18.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Estafa,2,150104,Barranco,42986,"INEI, Censos Nacionales 2025",5.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Hurto,52,150104,Barranco,42986,"INEI, Censos Nacionales 2025",5.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Otros,144,150104,Barranco,42986,"INEI, Censos Nacionales 2025",5.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Robo,19,150104,Barranco,42986,"INEI, Censos Nacionales 2025",5.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Secuestro,1,150104,Barranco,42986,"INEI, Censos Nacionales 2025",5.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Violencia contra la mujer e integrantes,24,150104,Barranco,42986,"INEI, Censos Nacionales 2025",5.3,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Estafa,7,150105,Breña,104888,"INEI, Censos Nacionales 2025",7.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Hurto,133,150105,Breña,104888,"INEI, Censos Nacionales 2025",7.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Otros,100,150105,Breña,104888,"INEI, Censos Nacionales 2025",7.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Robo,49,150105,Breña,104888,"INEI, Censos Nacionales 2025",7.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Violencia contra la mujer e integrantes,70,150105,Breña,104888,"INEI, Censos Nacionales 2025",7.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Estafa,1,150106,Carabayllo,430807,"INEI, Censos Nacionales 2025",20.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Extorsión,1,150106,Carabayllo,430807,"INEI, Censos Nacionales 2025",20.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Hurto,87,150106,Carabayllo,430807,"INEI, Censos Nacionales 2025",20.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Otros,165,150106,Carabayllo,430807,"INEI, Censos Nacionales 2025",20.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Robo,94,150106,Carabayllo,430807,"INEI, Censos Nacionales 2025",20.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Violencia contra la mujer e integrantes,243,150106,Carabayllo,430807,"INEI, Censos Nacionales 2025",20.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Estafa,1,150107,Chaclacayo,45670,"INEI, Censos Nacionales 2025",10.9,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Hurto,19,150107,Chaclacayo,45670,"INEI, Censos Nacionales 2025",10.9,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Otros,24,150107,Chaclacayo,45670,"INEI, Censos Nacionales 2025",10.9,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Robo,5,150107,Chaclacayo,45670,"INEI, Censos Nacionales 2025",10.9,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Violencia contra la mujer e integrantes,44,150107,Chaclacayo,45670,"INEI, Censos Nacionales 2025",10.9,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Estafa,11,150108,Chorrillos,377175,"INEI, Censos Nacionales 2025",13.1,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Extorsión,1,150108,Chorrillos,377175,"INEI, Censos Nacionales 2025",13.1,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Hurto,209,150108,Chorrillos,377175,"INEI, Censos Nacionales 2025",13.1,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Otros,216,150108,Chorrillos,377175,"INEI, Censos Nacionales 2025",13.1,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Robo,152,150108,Chorrillos,377175,"INEI, Censos Nacionales 2025",13.1,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Secuestro,1,150108,Chorrillos,377175,"INEI, Censos Nacionales 2025",13.1,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Violencia contra la mujer e integrantes,230,150108,Chorrillos,377175,"INEI, Censos Nacionales 2025",13.1,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Estafa,1,150109,Cieneguilla,50393,"INEI, Censos Nacionales 2025",24.7,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Extorsión,3,150109,Cieneguilla,50393,"INEI, Censos Nacionales 2025",24.7,"INEI, Censos Nacionales 2017"
