UBIGEO,DISTRITO,POBLACION_TOTAL,PORC_NBI_2017,TOTAL_DELITOS,TASA_DELITOS_10K,Estafa,Extorsión,Hurto,Otros,Robo,Secuestro,Violencia contra la mujer e integrantes
150101,Lima,314869,10.6,254185,8072.72,11184,5543,66103,88183,32360,283,50529
150102,Ancón,78256,21.7,15229,1946.05,262,313,2427,6047,1716,18,4446
150103,Ate,703028,18.0,131167,1865.74,2971,2480,27424,37260,14671,141,46220
150104,Barranco,42986,5.3,22286,5184.48,821,240,7283,8037,2688,22,3195
150105,Breña,104888,7.7,37752,3599.27,1474,389,10715,11246,5353,32,8543
150106,Carabayllo,430807,20.0,80321,1864.43,1972,1571,11811,22889,10581,103,31394
150107,Chaclacayo,45670,10.9,14204,3110.14,517,254,2656,5466,1394,13,3904
150108,Chorrillos,377175,13.1,78275,2075.3,3184,1665,13790,25620,10683,107,23226
150109,Cieneguilla,50393,24.7,7592,1506.56,423,193,1346,2538,321,12,2759
150110,Comas,578818,15.3,147289,2544.65,3912,2876,23247,43393,22940,370,50551
150111,El Agustino,231424,14.6,61154,2642.51,962,598,14593,16835,9776,64,18326
150112,Independencia,225078,18.7,91208,4052.28,2595,1234,19997,30806,13935,128,22513
150113,Jesús María,105776,3.0,35973,3400.87,2312,480,12189,12668,3787,41,4496
150114,La Molina,151360,2.8,31792,2100.42,2029,579,9628,10026,1913,57,7560
150115,La Victoria,192325,15.3,77665,4038.22,2451,1226,27783,20693,12369,86,13057
150116,Lince,72911,5.4,25361,3478.35,1282,265,9110,7970,3452,20,3262
150117,Los Olivos,362039,9.0,117233,3238.13,3747,2154,24388,33696,20506,173,32569
150118,Lurigancho,308451,22.9,51327,1664.02,1471,932,9001,22043,5176,71,12633
150119,Lurin,132149,21.7,24586,1860.48,1101,644,4900,8239,2760,55,6887
150120,Magdalena del Mar,82146,3.5,19365,2357.39,1220,283,4648,7411,1764,29,4010
150121,Pueblo Libre,99936,3.0,23178,2319.28,1127,240,6286,7183,3452,30,4860
150122,Miraflores,126049,1.2,60855,4827.88,3489,496,24753,19524,6767,63,5763
150123,Pachacamac,141104,25.8,24856,1761.54,750,659,3688,7730,2327,37,9665
150124,Pucusana,19758,34.0,4391,2222.39,110,78,735,1740,202,6,1520
150125,Puente Piedra,398975,23.3,69996,1754.4,2189,1663,12030,22050,7782,81,24201
150126,Punta Hermosa,16482,37.8,4300,2608.91,389,79,772,1705,221,6,1128
150127,Punta Negra,11241,14.9,2185,1943.78,83,40,414,827,174,6,641
150128,Rímac,197361,15.0,64251,3255.51,1605,1102,12474,26026,7931,55,15058
150129,San Bartolo,7408,14.4,3260,4400.65,135,67,416,1404,201,2,1035
150130,San Borja,126125,2.1,31100,2465.81,2205,442,9670,9779,2744,101,6159
150131,San Isidro,73401,1.1,30697,4182.1,2199,286,10919,10933,2641,74,3645
150132,San Juan de Lurigancho,1176583,19.4,261119,2219.3,6757,5612,53529,82684,34077,380,78080
150133,San Juan de Miraflores,417763,15.5,88690,2122.97,2364,1629,15354,28232,13054,145,27912
150134,San Luis,61773,9.4,20233,3275.38,794,284,6004,6030,2657,23,4441
150135,San Martín de Porres,764012,11.1,132884,1739.29,3937,2180,26956,36699,25524,174,37414
150136,San Miguel,189301,4.5,34353,1814.73,2083,379,6207,13660,2240,22,9762
150137,Santa Anita,224675,14.3,58739,2614.4,1762,686,17234,16049,7584,63,15361
150138,Santa María del Mar,994,12.1,423,4255.53,23,10,74,169,28,0,119
150139,Santa Rosa,38377,26.5,4938,1286.71,94,98,911,1582,310,14,1929
150140,Santiago de Surco,401980,3.6,108936,2709.99,5220,1243,33441,31987,14066,205,22774
150141,Surquillo,119236,6.4,29882,2506.12,1124,281,9452,9868,2449,21,6687
150142,Villa El Salvador,451546,15.5,95205,2108.42,2773,2188,14993,27960,16034,128,31129
150143,Villa María del Triunfo,487863,21.9,117238,2403.09,2862,1652,20555,35762,20039,151,36217
