UBIGEO,ANIO,DISTRITO,POBLACION_TOTAL,PORC_NBI,TOTAL_DELITOS,TASA_DELITOS_10K,Estafa,Extorsión,Hurto,Otros,Robo,Secuestro,Violencia contra la mujer e integrantes
150101,2018,Lima,314869,10.6,26713,848.38,378,47,7153,8876,4535,23,5701
150101,2019,Lima,314869,10.6,26674,847.15,659,83,6277,9851,4190,18,5596
150101,2020,Lima,314869,10.6,19846,630.29,829,78,3784,7164,2193,25,5773
150101,2021,Lima,314869,10.6,25853,821.07,1079,117,5770,8834,2466,31,7556
150101,2022,Lima,314869,10.6,30528,969.55,1397,645,6789,11114,3550,37,6996
150101,2023,Lima,314869,10.6,35668,1132.79,1553,1107,10069,11296,5632,40,5971
150101,2024,Lima,314869,10.6,36578,1161.69,1842,902,11254,12307,4888,51,5334
150101,2025,Lima,314869,10.6,33669,1069.3,2126,1626,9467,11936,3038,30,5446
150101,2026,Lima,314869,10.6,18656,592.5,1321,938,5540,6805,1868,28,2156
150102,2018,Ancón,78256,21.7,1524,194.75,8,1,209,460,169,0,677
150102,2019,Ancón,78256,21.7,1659,212.0,10,3,225,578,214,4,625
150102,2020,Ancón,78256,21.7,1308,167.14,7,1,254,472,175,4,395
150102,2021,Ancón,78256,21.7,1546,197.56,21,7,238,610,146,0,524
150102,2022,Ancón,78256,21.7,1921,245.48,32,36,302,820,232,2,497
150102,2023,Ancón,78256,21.7,2310,295.19,43,77,431,925,293,2,539
150102,2024,Ancón,78256,21.7,2167,276.91,60,51,351,961,277,2,465
150102,2025,Ancón,78256,21.7,1915,244.71,55,89,301,863,155,2,450
150102,2026,Ancón,78256,21.7,879,112.32,26,48,116,358,55,2,274
150103,2018,Ate,703028,18.0,15536,220.99,135,38,3045,3910,1867,19,6522
150103,2019,Ate,703028,18.0,16414,233.48,146,35,3369,4719,1738,21,6386
150103,2020,Ate,703028,18.0,11029,156.88,135,20,2066,3346,631,9,4822
150103,2021,Ate,703028,18.0,12651,179.95,209,58,2472,4248,906,19,4739
150103,2022,Ate,703028,18.0,14579,207.37,400,338,2642,4617,1150,13,5419
150103,2023,Ate,703028,18.0,18277,259.98,419,403,3640,4001,4015,25,5774
150103,2024,Ate,703028,18.0,18294,260.22,594,394,4525,4844,2839,13,5085
150103,2025,Ate,703028,18.0,15955,226.95,607,830,3723,5028,999,10,4758
150103,2026,Ate,703028,18.0,8432,119.94,326,364,1942,2547,526,12,2715
150104,2018,Barranco,42986,5.3,2898,674.17,33,3,935,1006,506,2,413
150104,2019,Barranco,42986,5.3,2831,658.59,46,6,1028,787,560,3,401
150104,2020,Barranco,42986,5.3,885,205.88,23,2,167,266,113,1,313
150104,2021,Barranco,42986,5.3,1530,355.93,59,5,362,714,108,0,282
150104,2022,Barranco,42986,5.3,2775,645.56,85,49,811,1234,261,3,332
150104,2023,Barranco,42986,5.3,3308,769.55,90,74,1128,1114,498,6,398
150104,2024,Barranco,42986,5.3,3362,782.12,166,47,1214,1156,331,5,443
150104,2025,Barranco,42986,5.3,3045,708.37,203,34,1118,1091,222,1,376
150104,2026,Barranco,42986,5.3,1652,384.31,116,20,520,669,89,1,237
150105,2018,Breña,104888,7.7,4234,403.67,71,6,1251,1180,698,3,1025
150105,2019,Breña,104888,7.7,3917,373.45,105,11,1058,979,800,7,957
150105,2020,Breña,104888,7.7,3169,302.13,106,9,702,952,315,9,1076
150105,2021,Breña,104888,7.7,3662,349.13,151,20,923,1162,467,2,937
150105,2022,Breña,104888,7.7,3981,379.55,175,94,933,1180,521,3,1075
150105,2023,Breña,104888,7.7,5536,527.8,204,87,1627,1416,1146,4,1052
150105,2024,Breña,104888,7.7,5437,518.36,281,53,1678,1708,715,1,1001
150105,2025,Breña,104888,7.7,5080,484.33,248,55,1666,1723,461,3,924
150105,2026,Breña,104888,7.7,2736,260.85,133,54,877,946,230,0,496
150106,2018,Carabayllo,430807,20.0,7659,177.78,30,14,1142,1950,1357,7,3159
150106,2019,Carabayllo,430807,20.0,9908,229.99,93,19,1303,2303,2050,8,4132
150106,2020,Carabayllo,430807,20.0,7880,182.91,109,22,1147,1991,972,10,3629
150106,2021,Carabayllo,430807,20.0,8452,196.19,161,65,1043,2274,979,11,3919
150106,2022,Carabayllo,430807,20.0,9075,210.65,226,235,1164,2911,1059,17,3463
150106,2023,Carabayllo,430807,20.0,10446,242.48,295,323,1510,2975,1402,17,3924
150106,2024,Carabayllo,430807,20.0,11280,261.83,443,303,1917,3365,1406,13,3833
