ANIO,MES,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,UBIGEO_HECHO,P_MODALIDADES,cantidad
2018,1,LIMA METROPOLITANA,LIMA,ANCON,150102,Estafa,1
2018,1,LIMA METROPOLITANA,LIMA,ANCON,150102,Hurto,34
2018,1,LIMA METROPOLITANA,LIMA,ANCON,150102,Otros,49
2018,1,LIMA METROPOLITANA,LIMA,ANCON,150102,Robo,14
2018,1,LIMA METROPOLITANA,LIMA,ANCON,150102,Violencia contra la mujer e integrantes,78
2018,1,LIMA METROPOLITANA,LIMA,ATE,150103,Estafa,12
2018,1,LIMA METROPOLITANA,LIMA,ATE,150103,Extorsión,2
2018,1,LIMA METROPOLITANA,LIMA,ATE,150103,Hurto,212
2018,1,LIMA METROPOLITANA,LIMA,ATE,150103,Otros,340
2018,1,LIMA METROPOLITANA,LIMA,ATE,150103,Robo,158
2018,1,LIMA METROPOLITANA,LIMA,ATE,150103,Secuestro,1
2018,1,LIMA METROPOLITANA,LIMA,ATE,150103,Violencia contra la mujer e integrantes,530
2018,1,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Estafa,2
2018,1,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Hurto,52
2018,1,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Otros,144
2018,1,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Robo,19
2018,1,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Secuestro,1
2018,1,LIMA METROPOLITANA,LIMA,BARRANCO,150104,Violencia contra la mujer e integrantes,24
2018,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Estafa,7
2018,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Hurto,133
2018,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Otros,100
2018,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Robo,49
2018,1,LIMA METROPOLITANA,LIMA,BREÑA,150105,Violencia contra la mujer e integrantes,70
2018,1,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Estafa,1
2018,1,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Extorsión,1
2018,1,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Hurto,87
2018,1,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Otros,165
2018,1,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Robo,94
2018,1,LIMA METROPOLITANA,LIMA,CARABAYLLO,150106,Violencia contra la mujer e integrantes,243
2018,1,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Estafa,1
2018,1,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Hurto,19
2018,1,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Otros,24
2018,1,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Robo,5
2018,1,LIMA METROPOLITANA,LIMA,CHACLACAYO,150107,Violencia contra la mujer e integrantes,44
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Estafa,11
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Extorsión,1
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Hurto,209
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Otros,216
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Robo,152
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Secuestro,1
2018,1,LIMA METROPOLITANA,LIMA,CHORRILLOS,150108,Violencia contra la mujer e integrantes,230
2018,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Estafa,1
2018,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Extorsión,3
2018,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Hurto,11
2018,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Otros,23
2018,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Robo,5
2018,1,LIMA METROPOLITANA,LIMA,CIENEGUILLA,150109,Violencia contra la mujer e integrantes,30
2018,1,LIMA METROPOLITANA,LIMA,COMAS,150110,Estafa,5
2018,1,LIMA METROPOLITANA,LIMA,COMAS,150110,Extorsión,6
2018,1,LIMA METROPOLITANA,LIMA,COMAS,150110,Hurto,244
2018,1,LIMA METROPOLITANA,LIMA,COMAS,150110,Otros,414
2018,1,LIMA METROPOLITANA,LIMA,COMAS,150110,Robo,175
2018,1,LIMA METROPOLITANA,LIMA,COMAS,150110,Secuestro,2
2018,1,LIMA METROPOLITANA,LIMA,COMAS,150110,Violencia contra la mujer e integrantes,355
2018,1,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Estafa,5
2018,1,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Hurto,193
2018,1,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Otros,220
2018,1,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Robo,115
2018,1,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Secuestro,1
2018,1,LIMA METROPOLITANA,LIMA,EL AGUSTINO,150111,Violencia contra la mujer e integrantes,250
2018,1,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Estafa,5
2018,1,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Extorsión,1
2018,1,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Hurto,167
2018,1,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Otros,243
2018,1,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Robo,109
2018,1,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Secuestro,3
2018,1,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,150112,Violencia contra la mujer e integrantes,232
2018,1,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Estafa,11
2018,1,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Hurto,258
2018,1,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Otros,48
2018,1,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Robo,35
2018,1,LIMA METROPOLITANA,LIMA,JESUS MARIA,150113,Violencia contra la mujer e integrantes,39
2018,1,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Estafa,10
2018,1,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Extorsión,1
2018,1,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Hurto,80
2018,1,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Otros,41
2018,1,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Robo,16
2018,1,LIMA METROPOLITANA,LIMA,LA MOLINA,150114,Violencia contra la mujer e integrantes,113
2018,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Estafa,14
2018,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Extorsión,1
2018,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Hurto,233
2018,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Otros,367
2018,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Robo,164
2018,1,LIMA METROPOLITANA,LIMA,LA VICTORIA,150115,Violencia contra la mujer e integrantes,102
2018,1,LIMA METROPOLITANA,LIMA,LIMA,150101,Estafa,31
2018,1,LIMA METROPOLITANA,LIMA,LIMA,150101,Extorsión,2
2018,1,LIMA METROPOLITANA,LIMA,LIMA,150101,Hurto,557
2018,1,LIMA METROPOLITANA,LIMA,LIMA,150101,Otros,709
2018,1,LIMA METROPOLITANA,LIMA,LIMA,150101,Robo,323
2018,1,LIMA METROPOLITANA,LIMA,LIMA,150101,Secuestro,1
2018,1,LIMA METROPOLITANA,LIMA,LIMA,150101,Violencia contra la mujer e integrantes,500
2018,1,LIMA METROPOLITANA,LIMA,LINCE,150116,Estafa,3
2018,1,LIMA METROPOLITANA,LIMA,LINCE,150116,Hurto,60
2018,1,LIMA METROPOLITANA,LIMA,LINCE,150116,Otros,36
2018,1,LIMA METROPOLITANA,LIMA,LINCE,150116,Robo,27
2018,1,LIMA METROPOLITANA,LIMA,LINCE,150116,Secuestro,1
2018,1,LIMA METROPOLITANA,LIMA,LINCE,150116,Violencia contra la mujer e integrantes,42
2018,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Estafa,11
2018,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Extorsión,1
2018,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Hurto,284
2018,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Otros,613
2018,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Robo,359
2018,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Secuestro,3
2018,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Violencia contra la mujer e integrantes,396
2018,1,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Estafa,5
2018,1,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Extorsión,1
2018,1,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Hurto,60
2018,1,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Otros,107
2018,1,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Robo,34
2018,1,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Violencia contra la mujer e integrantes,173
2018,1,LIMA METROPOLITANA,LIMA,LURIN,150119,Estafa,1
2018,1,LIMA METROPOLITANA,LIMA,LURIN,150119,Hurto,51
2018,1,LIMA METROPOLITANA,LIMA,LURIN,150119,Otros,66
2018,1,LIMA METROPOLITANA,LIMA,LURIN,150119,Robo,48
2018,1,LIMA METROPOLITANA,LIMA,LURIN,150119,Violencia contra la mujer e integrantes,75
2018,1,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Estafa,10
2018,1,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Hurto,55
2018,1,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Otros,62
2018,1,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Robo,25
2018,1,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,150120,Violencia contra la mujer e integrantes,40
2018,1,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Estafa,16
2018,1,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Extorsión,1
2018,1,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Hurto,120
2018,1,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Otros,74
2018,1,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Robo,23
2018,1,LIMA METROPOLITANA,LIMA,MIRAFLORES,150122,Violencia contra la mujer e integrantes,75
2018,1,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Estafa,5
2018,1,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Extorsión,2
2018,1,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Hurto,33
2018,1,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Otros,80
2018,1,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Robo,40
2018,1,LIMA METROPOLITANA,LIMA,PACHACAMAC,150123,Violencia contra la mujer e integrantes,96
2018,1,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Extorsión,1
2018,1,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Hurto,9
2018,1,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Otros,17
2018,1,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Robo,1
2018,1,LIMA METROPOLITANA,LIMA,PUCUSANA,150124,Violencia contra la mujer e integrantes,6
2018,1,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Estafa,3
2018,1,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Hurto,60
2018,1,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Otros,39
2018,1,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Robo,52
2018,1,LIMA METROPOLITANA,LIMA,PUEBLO LIBRE,150121,Violencia contra la mujer e integrantes,55
2018,1,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,150125,Estafa,3
2018,1,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,150125,Hurto,83
2018,1,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,150125,Otros,441
2018,1,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,150125,Robo,68
2018,1,LIMA METROPOLITANA,LIMA,PUENTE PIEDRA,150125,Violencia contra la mujer e integrantes,188
2018,1,LIMA METROPOLITANA,LIMA,PUNTA HERMOSA,150126,Hurto,22
2018,1,LIMA METROPOLITANA,LIMA,PUNTA HERMOSA,150126,Otros,14
2018,1,LIMA METROPOLITANA,LIMA,PUNTA HERMOSA,150126,Robo,3
2018,1,LIMA METROPOLITANA,LIMA,PUNTA HERMOSA,150126,Violencia contra la mujer e integrantes,9
2018,1,LIMA METROPOLITANA,LIMA,PUNTA NEGRA,150127,Estafa,1
2018,1,LIMA METROPOLITANA,LIMA,PUNTA NEGRA,150127,Hurto,11
2018,1,LIMA METROPOLITANA,LIMA,PUNTA NEGRA,150127,Otros,20
2018,1,LIMA METROPOLITANA,LIMA,PUNTA NEGRA,150127,Robo,9
2018,1,LIMA METROPOLITANA,LIMA,PUNTA NEGRA,150127,Violencia contra la mujer e integrantes,6
2018,1,LIMA METROPOLITANA,LIMA,RIMAC,150128,Estafa,4
2018,1,LIMA METROPOLITANA,LIMA,RIMAC,150128,Hurto,126
2018,1,LIMA METROPOLITANA,LIMA,RIMAC,150128,Otros,193
2018,1,LIMA METROPOLITANA,LIMA,RIMAC,150128,Robo,53
2018,1,LIMA METROPOLITANA,LIMA,RIMAC,150128,Violencia contra la mujer e integrantes,182
2018,1,LIMA METROPOLITANA,LIMA,SAN BARTOLO,150129,Hurto,6
2018,1,LIMA METROPOLITANA,LIMA,SAN BARTOLO,150129,Otros,13
2018,1,LIMA METROPOLITANA,LIMA,SAN BARTOLO,150129,Robo,2
2018,1,LIMA METROPOLITANA,LIMA,SAN BARTOLO,150129,Violencia contra la mujer e integrantes,6
2018,1,LIMA METROPOLITANA,LIMA,SAN BORJA,150130,Estafa,18
2018,1,LIMA METROPOLITANA,LIMA,SAN BORJA,150130,Extorsión,1
2018,1,LIMA METROPOLITANA,LIMA,SAN BORJA,150130,Hurto,117
2018,1,LIMA METROPOLITANA,LIMA,SAN BORJA,150130,Otros,36
2018,1,LIMA METROPOLITANA,LIMA,SAN BORJA,150130,Robo,44
2018,1,LIMA METROPOLITANA,LIMA,SAN BORJA,150130,Violencia contra la mujer e integrantes,66
2018,1,LIMA METROPOLITANA,LIMA,SAN ISIDRO,150131,Estafa,6
2018,1,LIMA METROPOLITANA,LIMA,SAN ISIDRO,150131,Hurto,83
2018,1,LIMA METROPOLITANA,LIMA,SAN ISIDRO,150131,Otros,127
2018,1,LIMA METROPOLITANA,LIMA,SAN ISIDRO,150131,Robo,31
2018,1,LIMA METROPOLITANA,LIMA,SAN ISIDRO,150131,Violencia contra la mujer e integrantes,65
2018,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,150132,Estafa,29
2018,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,150132,Extorsión,3
2018,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,150132,Hurto,525
2018,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,150132,Otros,727
2018,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,150132,Robo,498
2018,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,150132,Secuestro,5
2018,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,150132,Violencia contra la mujer e integrantes,711
2018,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,150133,Estafa,10
2018,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,150133,Extorsión,1
2018,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,150133,Hurto,178
2018,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,150133,Otros,197
2018,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,150133,Robo,78
2018,1,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,150133,Violencia contra la mujer e integrantes,225
2018,1,LIMA METROPOLITANA,LIMA,SAN LUIS,150134,Estafa,5
2018,1,LIMA METROPOLITANA,LIMA,SAN LUIS,150134,Extorsión,1
2018,1,LIMA METROPOLITANA,LIMA,SAN LUIS,150134,Hurto,67
2018,1,LIMA METROPOLITANA,LIMA,SAN LUIS,150134,Otros,74
2018,1,LIMA METROPOLITANA,LIMA,SAN LUIS,150134,Robo,34
2018,1,LIMA METROPOLITANA,LIMA,SAN LUIS,150134,Secuestro,1
2018,1,LIMA METROPOLITANA,LIMA,SAN LUIS,150134,Violencia contra la mujer e integrantes,69
2018,1,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,150135,Estafa,5
2018,1,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,150135,Extorsión,1
2018,1,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,150135,Hurto,239
2018,1,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,150135,Otros,403
2018,1,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,150135,Robo,324
